NAME,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24
PNPT1,1.007,0,0,2.104333333,6.459333333,0,0
PSMB6,1.320666667,0,0,2.086666667,0,0,0
CCT8,0,0,2.141666667,2.078,0,0,0
RPS23,1.275,0,2.564,2.059333333,6.308,0,0
PRDX3,0.949,0,2.428333333,2.045666667,6.069333333,2.112,2.734
ACTG1,0.269333333,1.504,1.55,2.045,2.776666667,0.569333333,1.398
PGAM1,0,0,0,2.035,0,0,0
FARSB,1.044666667,0,1.980666667,2.032666667,6.397,0,0
RPN1,4.768666667,2.855,3.105333333,2.029,3.754,3.227666667,3.058333333
PCNA,0,0,0,2.020333333,2.600666667,0,0
HSPA1B,0,0,0,2.0045,1.796833333,0,0
RPL23,1.83,2.033666667,0,2.001333333,5.737333333,2.467,4.837666667
DLST,4.584666667,0,2.911,1.999666667,4.274333333,3.094333333,7.225333333
KHDRBS1,0,2.067666667,0,1.999333333,2.49,0,0
HIST1H4F,0.1915,1.539166667,0.9165,1.9875,2.757833333,1.2475,0.976166667
FSCN1,0,0,0,1.984333333,2.466333333,0,0
PSMA5,0,0,0,1.969666667,0,0,0
CCT7,0,0,0,1.963,0,0,0
CCT6A,0,0,0,1.962333333,0,0,0
ACTR3,0,0,0,1.961333333,2.620333333,2.366,0
YWHAG,0.797666667,0,0,1.957333333,2.515333333,0,0
PSMA1,0.472666667,0,0,1.935,0,0,2.100666667
MTHFD1,0,0,0,1.929333333,0,0,0
XPO1,0,0,0,1.929,0,0,0
ANXA5,0,0,0,1.924,0,0,0
PSMC4,0,0,1.99,1.92,0,0,0
HIST1H2BO,0,2.846666667,0,1.889,2.177333333,0,0
PSMB3,0.692,0,1.956,1.874,0,0,0
KARS,0.453666667,0,1.751,1.855666667,5.316666667,0,0
ALDH1B1,1.142666667,0,0,1.844333333,5.396,0,1.838666667
EIF3F,0.483333333,0,1.801333333,1.834,4.931666667,2.057,0
