NAME,S6.FC.nonIR5,S6.FC.IR5,S6.FC.IR30,S6.FC.IR2,S6.FC.IR8,S6.FC.IR24,S6.FC.nonIR24
NOP53,1.726666667,0,0,3.760666667,0,0,0
POLR1A,0,0,0,3.757,0,0,0
MRE11A,2.196666667,0,0,3.747666667,0,0,0
SEPT2,0,0,2.094666667,3.726,4.962333333,0,0
TKT,0,4.505,0,3.697,5.551,1.920333333,2.599
KRT18,4.87925,3.934833333,4.012166667,3.676833333,6.819833333,4.1815,4.8355
HSPA4,0,0,0,3.659333333,0,1.992666667,0
SMARCA5,2.057666667,0,0,3.604,0,0,0
CSDE1,0,0,0,3.603666667,0,0,0
FH,0,0,0,3.602333333,6.527333333,0,3.178
LDHA,4.516666667,0,5.139333333,3.516333333,5.885333333,4.093333333,2.885666667
ETF1,0,0,0,3.48,1.745666667,0,0
GLYR1,0,0,1.821666667,3.470666667,0,0,0
LRWD1,0,0,0,3.408333333,3.6,4.927666667,2.477666667
SUPT16H,2.472,2.559,0,3.400333333,2.481333333,1.938,1.677333333
NUP54,0,0,0,3.390333333,0,0,0
PSMA6,1.600666667,0,0,3.37,0,0,0
PSMD1,0,0,0,3.345,0,0,0
HSPA5,0,0,0,3.2855,6.283833333,2.6765,3.0225
KDM1A,0,0,0,3.284,0,0,0
NBN,0,0,0,3.272,1.908333333,0,0
MISP,2.688333333,2.843333333,2.763666667,3.261666667,5.979666667,2.316,0
ORC2,1.968333333,1.983,2.103666667,3.189,2.271666667,0,1.785333333
KHDRBS1,5.925333333,2.997666667,2.700333333,3.099,5.254,3.222333333,4.434666667
SNRPF,2.335,0,0,3.034333333,3.516333333,0,0
KIF20A,0,0,0,3.009,0,3.987333333,0
HNRNPAB,2.301666667,2.780333333,0,3.006666667,0,4.328,3.181333333
YWHAG,0,0,0,2.994,2.455666667,0,0
ZC3HAV1,0,0,0,2.938333333,4.476666667,0,0
G3BP2,2.697333333,2.872666667,2.809,2.934333333,3.286,2.288,2.261333333
RBFOX2,0,0,0,2.903666667,0,0,0
NUP88,2.188666667,0,0,2.9,0,0,0
PSMB3,0,1.7515,1.8005,2.892833333,5.037833333,4.685833333,1.662166667
RPS25,0,0,0,2.885833333,1.268166667,0,0
TSFM,0,0,0,2.760666667,2.271,0,2.613666667
RPS15A,0,0,0,2.750666667,3.161,0,0
GLUD1,0,2.429666667,0,2.662666667,5.123,2.330666667,2.465666667
IDH3A,0,0,0,2.645333333,3.119,0,0
THOC6,0,0,0,2.621333333,0,0,1.858666667
WDR5,3.296,2.065333333,2.768333333,2.619666667,5.970333333,5.492,5.291666667
HIST2H2BE,6.445666667,3.4565,5.668166667,2.615833333,4.985833333,1.820833333,2.2655
RPL37A,0,0,3.275,2.554,4.671333333,2.093,2.255666667
PPIH,0,0,0,2.552,2.152666667,0,0
RAC1,0,0,0,2.516,0,0,0
VIM,3.714083333,2.740333333,2.638666667,2.362,5.657333333,2.711,3.595
SYNCRIP,0,0,0,2.357666667,0,0,2.374333333
PSMC5,0,1.963,4.738333333,2.353333333,5.893666667,2.119,2.333333333
RAE1,0,0,2.383,2.298666667,3.036333333,2.046,0
SURF6,2.027,2.173,1.944666667,2.296,1.9,2.035,0
MRPL2,0,0,0,2.291666667,0,0,0
RPL9,0,0,0,2.283666667,6.755333333,3.409666667,0
LMO7,0,1.765333333,2.031,2.225666667,0,0,0
MEN1,0,2.301333333,0,2.203666667,0,0,0
RAVER1,0,0,0,2.197666667,1.712,0,0
PWP2,1.948333333,2.097333333,1.75,2.189,3.055,2.711333333,0
SRSF6,1.848333333,0,0,2.150333333,0,0,0
C1QBP,0,0,0,2.136666667,1.839,1.814,1.932
NUP210,0,0,0,2.121333333,0,2.238,0
CCT8,0,2.356333333,0,2.107666667,2.855333333,0,0
PUF60,2.85,2.668666667,5.381,2.099666667,5.141,2.206,7.261333333
PSMA3,0,2.093,1.972,2.097666667,2.069333333,1.915,0
AATF,0,0,0,2.081666667,0,0,0
AHCTF1,0,0,0,2.074333333,0,0,0
PPIL1,0,0,0,2.065333333,2.115,0,0
SEPT7,1.892,2.518,2.209333333,2.047333333,7.126666667,5.612666667,3.721
NUP43,0,0,0,2.033666667,4.215666667,4.381,2.555
RPS16,5.264666667,0,2.208,2.029666667,4.763666667,0,4.441333333
DDX5,3.046666667,2.477,2.813,1.999333333,5.039,4.066333333,4.278333333
HIST1H1C,0,0,2.550666667,1.943666667,0,0,2.481
EIF5A,0,0,0,1.941,2.879333333,0,0
RPS27,0,1.598333333,3.367666667,1.923333333,2.043,0,1.728
PSMC4,0,0,0,1.918666667,0,0,0
GCN1L1,0,1.747,1.996333333,1.886666667,1.964666667,1.972666667,1.881
EEF2,0,0.421333333,0,1.885666667,3.563,0,1.781333333
PRDX1,0,0,0,1.873333333,2.209666667,0,2.282
XRCC6,2.671333333,2.830666667,2.755666667,1.854666667,4.323,2.165666667,1.547333333
NSUN5,0,0,4.070666667,1.815333333,0,4.169,0
DNM2,2.051,1.759,2.991666667,1.813666667,0,0,0
EXOSC2,0,0,0,1.791,2.546333333,0,2.112
RAP1A,0,0,0,1.789833333,0.770166667,0,0
MAGOH,1.641666667,0,2.507333333,1.752333333,1.827333333,2.072,2.001333333
EXOSC9,0,0,0,1.751,0,2.555333333,2.406666667
RFC2,0,0,0,1.709,0,0,0
BCAS2,0,0,0,1.708333333,3.157666667,0,0
YEATS2,0,0,0,1.707666667,2.086666667,0,0
POLR2E,2.466666667,4.318666667,2.421333333,1.690333333,2.618,2.4,2.060666667
WDR12,0,0,0,1.686666667,0,0,0
PSMA7,0,0,0,1.683666667,0,1.708666667,0
NUP188,0,0,0,1.638333333,2.159,0,0
PUS7,0,0,0,1.627333333,0,0,0
DRG1,0,1.998333333,1.504666667,1.621,2.125,0,0
CCT5,0,0,0,1.587666667,0,0,0
DIMT1,1.02775,1.904166667,0,1.574833333,5.445166667,5.1155,6.683833333
RPL18,1.949333333,3.237666667,2.032333333,1.574666667,4.208,3.223,2.572
NDUFA13,0,0,0,1.567666667,0,0,0
THOC2,0,0,0,1.564666667,0,0,0
CPSF3,0,0,0,1.559666667,0,0,0
APEX1,1.215666667,1.244333333,2.233666667,1.533333333,4.461,2.625666667,2.569
RBBP4,2.636333333,2.617333333,4.038333333,1.519666667,4.267666667,3.06,4.371333333
ZBTB33,1.615666667,0,2.856666667,1.514,0,0,0
CTNND1,0,0,0,1.472666667,0,0,0
JMJD1C,4.040666667,4.154,4.608666667,1.457,2.379666667,0,0
RPL15,0,0,0,1.455333333,1.233333333,0,0
FUS,0,0,0,1.446666667,0,0,0
FKBP1A,2.794666667,1.628666667,4.297,1.437,4.149666667,0.839666667,0
HSPA6,2.158333333,0,0,1.432333333,3.654666667,0.347666667,0.966333333
RCC1,4.703,2.979,4.784333333,1.428666667,3.592333333,3.209,3.209
PSMD4,0,0,0,1.428,0,3.676666667,0
TOX4,0,0,0,1.375333333,2.560666667,0,0
UBR5,0,1.557333333,0,1.373333333,0,0,0
ACTG1,2.693666667,2.060666667,2.730666667,1.362,3.944,2.117333333,2.466666667
DDX56,0,1.261666667,4.605333333,1.347333333,2.624666667,1.436,3.072333333
SPOUT1,0,0,0,1.333333333,0,0,1.953
SCRIB,0,0,0,1.324333333,0,0,0
RPS20,0,0,0,1.237333333,2.372333333,0,0
DAP3,0,0,0,1.198333333,0,0,0
TFB2M,0,0,0,1.187333333,0,0,0
MTHFD1,0,0,0,1.180333333,0,0,0
TUBB,4.137666667,5.153333333,0.602,1.174,6.506666667,3.591666667,5.410333333
PARP1,2.771333333,3.622,2.396666667,1.171,2.822666667,2.628666667,3.593
PCBP1,1.255,2.090333333,0,1.152,2.834666667,1.103,0.893
PHB2,3.04375,3.406833333,3.810166667,1.151166667,2.201833333,3.350833333,1.8125
NUP160,2.151666667,0,1.296,1.141666667,3.045666667,2.359,1.459333333
