NAME,Mre.FC.nonIR5,Mre.FC.IR5,Mre.FC.IR30,Mre.FC.IR2,Mre.FC.IR8,Mre.FC.IR24,Mre.FC.nonIR24
SF3A2,0,0,26.92466667,0,43.945,57.61433333,57.99233333
NUDT21,0,0,26.90866667,0,51.21566667,44.36,0
SLC25A1,0,0,26.78466667,0,57.417,0,0
NUP88,0,0,26.73366667,0,50.87233333,0,0
WDR43,0,0,26.70933333,0,51.265,32.79933333,0
WDR74,0,0,26.66633333,0,32.32933333,45.625,0
NXF1,0,0,26.63366667,0,45.61466667,32.63033333,0
DDX24,0,0,26.60833333,0,25.917,0,0
DDX47,0,0,26.59266667,0,55.60466667,50.163,0
CDK1,0,0,26.58133333,0,57.68566667,57.51166667,56.965
PCNA,0,0,26.52233333,19.42333333,0,0,0
WDR75,0,0,26.51866667,21.117,44.552,0,0
RTCB,0,0,26.51833333,0,51.719,45.379,0
NUP35,0,0,26.469,32.50666667,0,0,0
NOL6,0,0,26.381,0,44.56066667,57.336,0
NSA2,0,0,26.377,0,0,0,0
ECSIT,0,0,26.33933333,14.76066667,37.999,0,0
WDR18,0,0,26.32833333,0,19.872,0,0
NPM3,49.592,43.63566667,26.304,22.31166667,0,19.447,0
RPS3,0,31.02433333,26.30233333,39.09166667,32.82633333,0,61.08266667
PELP1,0,0,26.30033333,0,39.23166667,56.44033333,0
RPS4X,31.68833333,0,26.299,0,50.94333333,37.20266667,0
DKC1,0,0,26.29266667,0,44.14766667,0,0
GRSF1,0,0,26.27466667,0,0,0,0
KPNA2,30.808,0,26.24133333,0,62.61766667,51.04266667,49.60933333
RPS5,0,0,26.23166667,0,0,0,0
CCT4,0,0,26.12266667,0,0,0,0
VDAC1,0,0,26.11766667,0,44.80033333,0,0
MYO1C,30.027,0,26.04933333,0,51.21666667,43.32933333,0
USP39,0,0,26.01466667,0,0,0,0
PTPMT1,0,0,26.01133333,21.85,31.65933333,0,0
LBR,0,0,25.98866667,0,44.93533333,32.22066667,0
DDX42,0,0,25.983,0,37.57966667,0,0
NUP188,0,0,25.97866667,0,49.91666667,37.57666667,0
YME1L1,0,0,25.971,0,33.14933333,0,0
PRPF6,0,0,25.89966667,0,0,37.45933333,0
HNRNPH1,0,0,25.871,0,33.605,25.51933333,0
POLR2E,48.895,24.757,25.85566667,0,43.41266667,44.53733333,44.411
AAAS,0,0,25.83633333,0,0,0,0
DNAJA2,30.59333333,0,25.83,0,0,39.125,0
ANXA7,0,0,25.798,0,25.18033333,0,0
PRPF8,0,0,25.76866667,0,50.81833333,62.435,0
EXOSC10,0,0,25.70066667,0,48.88866667,0,55.67066667
ENO1,43.75833333,0,25.69633333,0,0,0,0
NUP85,0,0,25.67866667,0,44.738,62.20333333,56.008
NOL11,0,0,25.62166667,0,0,0,0
XRN2,0,0,25.59566667,0,37.918,0,0
HNRNPAB,25.15566667,30.888,25.50033333,31.17666667,37.54033333,60.777,0
RPN2,0,0,25.32466667,0,25.647,0,0
HP1BP3,0,0,25.30666667,0,0,0,0
PSMB6,0,0,25.20833333,20.90266667,0,0,0
RBBP7,0,0,25.12066667,0,0,31.23166667,0
NVL,0,0,25.10533333,0,0,25.76533333,0
PTCD3,0,0,25.10366667,0,0,0,0
ALKBH5,0,0,25.088,0,0,31.35266667,0
GOLGA2,0,0,25.006,0,0,0,0
RPL19,0,0,24.995,0,43.57833333,0,0
MCM4,0,0,24.95833333,27.94133333,0,0,0
UFL1,0,0,24.893,0,0,0,0
DAP3,0,0,24.64,0,0,0,0
RCC1L,0,0,24.08433333,0,37.17166667,0,0
WDR82,0,0,24.07333333,0,0,0,0
PPP1CA,0,0,24.05233333,0,0,0,0
BAZ1B,0,0,23.409,45.92433333,0,0,0
NPLOC4,0,0,22.231,0,33.74466667,45.2195,39.62366667
RRP9,0,0,20.82333333,0,44.67633333,51.36233333,0
DDX3X,0,0,20.692,32.39733333,45.58666667,0,0
NUP153,0,0,20.673,0,25.35033333,44.96666667,45.03366667
FAF2,0,0,20.533,0,39.68166667,0,0
MSN,0,0,20.40866667,0,25.54766667,0,0
TMX1,0,0,20.12333333,0,45.889,0,0
SNRNP40,0,0,20.11766667,0,32.93833333,37.67266667,0
GNAI3,0,0,20.112,0,0,0,0
FTSJ3,0,0,20.099,0,25.499,0,0
LONP1,0,0,20.026,0,0,0,0
TBL3,0,0,19.98933333,0,31.788,55.29,0
CELF1,0,0,19.98433333,0,0,0,0
RRP8,0,0,19.97533333,0,30.13366667,0,0
HNRNPUL1,0,0,19.954,0,48.29033333,0,0
DDX50,0,0,19.93166667,0,0,0,0
CSTF3,0,0,19.894,0,0,0,0
UFD1,0,0,19.87966667,0,0,0,0
POP1,0,0,19.87766667,0,0,0,0
PPIB,31.38,31.296,19.849,0,0,37.348,0
RPRD2,0,0,19.76966667,0,0,0,0
PNKP,0,0,19.76633333,32.68066667,43.55133333,31.44666667,55.489
EXOSC4,0,0,19.635,0,19.491,0,0
SEPHS1,0,0,19.59066667,0,18.928,0,0
RPA1,0,0,19.47333333,33.05466667,32.52766667,0,0
EPB41L2,0,0,19.42333333,0,31.8,0,0
POLR1C,0,0,19.39166667,0,0,0,0
SEC63,0,0,19.34066667,0,30.677,0,0
PGRMC1,24.961,0,19.28266667,0,54.77,0,0
SCRIB,0,0,19.07666667,0,36.54266667,0,0
ACTR3,0,0,18.82166667,0,0,0,0
CCAR1,0,0,18.81633333,0,0,25.56133333,0
LRWD1,0,0,18.79566667,0,0,0,0
PSMD14,0,0,18.68166667,30.57866667,36.17733333,36.31333333,0
EXOSC2,0,0,18.66033333,0,0,0,0
SMARCC1,0,0,0,56.51833333,0,0,0
SMARCB1,0,0,0,49.79466667,0,0,0
SHMT1,0,0,0,49.7185,0,0,0
TP53BP1,0,0,0,46.48766667,26.03666667,0,0
CDKN2AIP,0,0,0,46.29666667,0,0,0
MCL1,0,0,0,45.64466667,0,0,0
SMARCD1,0,0,0,44.94133333,0,0,0
ATP2B1,0,0,0,44.784,0,0,0
H3-3B,0,0,0,44.39866667,0,0,0
ZNF326,0,0,0,43.59616667,24.884,0,0
MCM3,0,0,0,39.784,25.86333333,0,0
MGME1,0,0,0,39.67666667,0,0,0
MRE11A,70.67633333,64.77533333,0,39.56233333,59.40833333,57.44,0
HNRNPCL1,0,0,0,39.38266667,0,0,0
MPG,0,0,0,39.37366667,0,0,0
NRAS,0,0,0,39.372,32.22166667,0,0
SMARCA4,0,0,0,39.289,0,0,0
UNG,0,0,0,39.21566667,0,0,0
CHD1L,0,0,0,39.13866667,0,0,0
SMARCA2,0,0,0,39.13033333,0,0,0
SRPK1,0,0,0,39.05533333,0,0,0
ADRM1,25.121,0,0,38.46066667,31.53066667,32.134,0
MMUT,0,0,0,38.307,0,0,0
AQR,0,0,0,38.10716667,26.365,0,0
GSK3B,0,0,0,37.692,0,0,0
SMARCA5,0,0,0,37.55166667,25.788,30.96866667,0
SFXN4,0,0,0,35.93766667,0,0,0
CALD1,0,0,0,35.77266667,0,0,0
USO1,0,0,0,34.764,0,0,0
EGFR,0,0,0,34.54433333,43.17733333,0,0
FUS,0,0,0,34.257,0,0,0
TOP1,0,0,0,34.2205,0,0,0
H2BC15,0,0,0,34.11033333,0,0,0
ERCC5,0,0,0,34.08466667,0,0,0
H2AX,0,0,0,34.006,0,0,0
CDK5RAP3,0,0,0,33.984,0,0,0
ACTR2,0,0,0,33.694,0,0,0
ANXA2,0,0,0,33.651,0,0,0
GTPBP10,0,0,0,32.99866667,0,0,0
CTBP2,0,0,0,32.996,0,0,0
GPRC5A,0,0,0,32.976,0,0,0
DDX19A,0,0,0,32.91666667,45.93066667,0,0
XRCC1,0,0,0,32.891,49.172,0,0
CAPN1,0,0,0,32.76033333,0,0,0
LASP1,0,0,0,32.518,0,0,0
FEN1,0,0,0,32.49266667,0,0,0
EEF1A1,0,0,0,32.30366667,0,0,0
LEO1,0,0,0,31.996,0,0,0
TRIM28,37.451,38.742,0,31.61566667,0,56.825,0
YWHAG,0,0,0,31.125,0,0,0
UBAP2L,0,0,0,30.88266667,0,0,0
MSH2,0,0,0,30.46266667,19.431,0,0
RECQL,0,0,0,29.183,26.69866667,0,0
RFX1,0,0,0,29.11266667,0,0,0
EXD2,0,0,0,29.034,0,0,0
RNMT,0,0,0,28.88466667,0,0,0
DDX1,0,0,0,28.47033333,30.29633333,0,0
MTA1,0,0,0,28.464,0,0,0
ACTL6A,48.51283333,0,0,28.37266667,39.2965,50.9995,50.34183333
RNPS1,0,0,0,27.75633333,0,0,0
HDAC1,0,0,0,27.72866667,0,0,0
USP30,0,0,0,27.60583333,0,0,0
RPL37,44.02433333,0,0,27.56,0,0,0
MCM5,37.88233333,36.237,0,27.53,32.38966667,0,0
PRDX4,0,0,0,27.50933333,0,0,0
RPL23A,0,0,0,27.47966667,0,0,0
POLD2,35.891,0,0,27.47233333,0,25.75733333,0
RBFOX2,0,0,0,27.45766667,50.49866667,0,0
RUVBL1,50.35433333,31.71566667,0,27.39033333,51.63766667,57.402,68.97833333
LARP1,0,0,0,27.2825,0,0,0
RAB6C,0,0,0,27.26766667,0,0,0
EXOSC7,0,0,0,27.247,0,0,0
ERH,0,0,0,26.97833333,0,0,0
DYNC1I2,0,0,0,26.92733333,0,0,0
UTP14A,0,0,0,26.90066667,0,0,0
BOP1,0,0,0,26.74,0,0,0
EMC4,0,0,0,26.50833333,0,0,0
RPSA,0,0,0,26.501,0,0,0
ZNF638,0,0,0,26.40933333,0,0,0
RPUSD3,0,0,0,26.26433333,0,0,0
TEX264,0,0,0,26.21966667,0,0,0
RETSAT,0,0,0,26.20366667,0,0,0
TAF8,0,0,0,26.15766667,0,0,0
LARS2,0,0,0,26.02866667,0,0,0
H2BC10,0,0,0,25.98,0,0,0
PEX14,0,0,0,25.93933333,32.10133333,0,0
FAM83H,0,0,0,25.84466667,0,0,0
POLR1A,0,0,0,25.80533333,0,0,54.589
IWS1,0,0,0,25.55866667,0,0,0
GDAP1,0,0,0,25.54933333,0,0,0
ZC3H14,0,0,0,25.29,0,0,0
TOR1AIP2,0,0,0,25.16966667,0,0,0
TWNK,0,0,0,24.73466667,0,0,0
MDC1,0,0,0,24.66733333,32.299,0,0
SLC22A18,0,0,0,24.63533333,0,0,0
SSRP1,0,0,0,24.52733333,0,0,0
THOC3,0,0,0,24.47833333,0,0,0
TFB1M,0,0,0,23.73,0,0,0
PPP1CC,0,0,0,22.95533333,0,0,0
SMPD4,0,0,0,22.445,54.933,0,0
OGT,0,0,0,22.01033333,39.1275,0,0
SURF4,0,0,0,21.9,38.671,0,0
RHOC,0,0,0,21.707,0,0,0
CLIC1,0,0,0,21.65866667,0,0,0
RAB34,0,0,0,21.64366667,32.57833333,0,0
FAM20B,0,0,0,21.368,0,0,0
SNAP23,0,0,0,21.248,0,0,0
SMC2,0,0,0,21.233,0,0,0
TCERG1,0,0,0,21.229,0,0,0
CTSD,0,0,0,21.15566667,0,0,0
PSMA2,0,0,0,21.071,0,38.26366667,0
FAM98B,0,0,0,20.997,0,0,0
GGCT,0,0,0,20.95366667,26.25233333,0,0
ALDOC,0,0,0,20.94366667,0,0,0
MCM2,0,0,0,20.91666667,0,0,0
URB2,0,0,0,20.80233333,12.44033333,0,0
MCM6,0,0,0,20.74,0,0,0
CSTF2,0,0,0,20.72533333,0,0,0
POP7,0,0,0,20.70333333,26.156,0,0
CDC40,0,0,0,20.649,0,0,0
PTBP3,0,0,0,20.64666667,0,0,0
MCM7,0,0,0,20.641,31.27533333,0,0
ZC3H11A,0,0,0,20.545,0,0,0
FXR1,0,0,0,20.48066667,0,0,0
PPP1CB,0,0,0,20.45133333,0,0,0
PSMA5,0,0,0,20.451,0,0,0
IMPDH2,0,0,0,20.42666667,0,0,0
FLII,0,0,0,20.42,0,0,0
S100A9,0,0,0,20.40866667,0,0,0
KPNA1,0,0,0,20.40166667,0,0,0
RPS15,0,0,0,20.401,0,0,0
MARS1,0,0,0,20.38766667,0,0,0
CDC20,0,0,0,20.36333333,0,0,0
PPP2R1B,0,0,0,20.30833333,0,0,0
IDH2,0,0,0,20.26333333,0,0,0
PRDX3,0,0,0,20.01033333,0,0,0
GNAI1,0,0,0,19.998,0,0,0
CRYZ,0,0,0,19.906,0,0,0
XRCC6,50.9055,0,0,19.813,46.23316667,0,56.37016667
EIF5,0,0,0,19.77933333,24.78666667,0,0
BASP1,0,0,0,19.70333333,0,0,0
GSTP1,36.40466667,0,0,19.64433333,0,0,0
BCAS2,0,0,0,19.56866667,0,0,0
PSMB3,0,0,0,19.377,0,0,0
PSMC5,0,0,0,19.32466667,0,0,0
QSOX2,0,0,0,19.263,0,0,0
MTIF2,0,0,0,19.262,0,0,0
HLTF,0,0,0,19.11266667,0,0,0
ANKLE2,0,0,0,18.83233333,0,0,0
SMC3,0,0,0,18.66033333,0,0,0
USP33,0,0,0,18.47933333,0,0,0
FUBP1,0,0,0,17.49966667,0,0,0
CSTF2T,0,0,0,15.72733333,0,0,0
PPIH,0,0,0,15.09133333,0,0,0
IQGAP2,0,0,0,15.05666667,0,0,0
ADARB1,0,0,0,14.74266667,0,0,0
U2AF2,0,0,0,14.393,0,0,0
ATP2C1,0,0,0,14.13966667,0,0,0
RPS19,0,0,0,14.08833333,0,0,0
SNRPF,0,0,0,14.075,0,0,0
PDIA4,0,0,0,13.88533333,0,0,0
ALDH1L1,0,0,0,13.73966667,0,0,0
FSCN1,0,0,0,13.51933333,0,0,0
IDH3G,0,0,0,13.41766667,0,0,0
PWP1,0,0,0,13.39466667,0,0,0
GNA13,0,0,0,13.28766667,0,0,0
EIF4H,0,0,0,13.19966667,0,0,0
ITPRIP,0,0,0,12.40933333,0,0,0
PRPF31,0,0,0,9.753333333,25.81733333,49.53466667,0
DDX21,0,0,0,0,49.72666667,66.729,66.55233333
ILF3,0,0,0,0,0,66.11483333,65.99733333
HNRNPL,0,0,0,0,54.38316667,0,65.2135
WDR36,0,0,0,0,0,48.257,64.46283333
WDR5,0,0,0,0,0,47.75716667,64.13733333
KHDRBS1,0,0,0,0,62.619,68.87366667,63.652
HNRNPA2B1,0,38.50883333,0,0,38.9275,62.599,63.3215
FUBP3,31.86033333,26.03066667,0,0,57.33433333,63.03866667,63.083
ATAD3A,51.41716667,56.67783333,0,0,47.7005,63.50433333,63.07383333
SF3B2,0,0,0,0,44.64,56.10383333,62.382
NUP54,36.86266667,0,0,0,0,44.98566667,61.488
MDH2,60.91133333,55.05833333,0,0,55.97666667,60.44816667,61.20233333
HNRNPM,0,37.05666667,0,0,56.55933333,51.27366667,57.57066667
DDX27,0,0,0,0,34.95383333,61.986,56.5025
NOP56,0,0,0,0,45.91016667,57.01533333,56.42116667
NUP107,37.17833333,0,0,0,39.484,61.04166667,56.16833333
CFL1,0,0,0,0,50.15033333,25.68066667,56.04333333
SERPINB3,31.94533333,0,0,0,0,0,51.027
RBM14,37.06083333,0,0,0,0,0,50.90683333
DDB1,0,0,0,0,55.353,38.36066667,50.509
RPS2,0,0,0,0,45.45716667,0,44.56216667
UTP18,0,0,0,0,50.74666667,0,44.263
NUMA1,0,0,0,0,0,0,43.7535
UTP4,0,0,0,0,32.453,49.48133333,43.47966667
HSP90AA1,35.98566667,30.34966667,0,0,0,30.72333333,43.17866667
FYTTD1,37.3485,0,0,0,32.52716667,0,38.1055
CPSF1,0,0,0,0,0,26.03933333,37.974
HNRNPK,59.49266667,59.25166667,0,0,49.20633333,71.94083333,0
GNL3,61.79833333,0,0,0,0,69.54783333,0
NUP93,35.25366667,0,0,0,43.09,65.72466667,0
